item_id,title,price_value,price_currency,shipping_cost,condition,buying_options,item_web_url,image_url,result_type
v1|137141309293|0,Pioneer SX-1250 Stereo Receiver. Excellent condition! LQQK,3950.95,USD,195.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/137141309293?_skw=Pioneer+SX-1250&hash=item1fee424f6d:g:wLQAAeSwmNppqzMB,https://i.ebayimg.com/images/g/wLQAAeSwmNppqzMB/s-l225.jpg,EXACT_FULL_UNIT
v1|127746705856|0,Pioneer SX-1010 Vintage Stereo Receiver Completely Rebuild ,1650.0,USD,0.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/127746705856?_skw=Pioneer+SX-1250&hash=item1dbe4c09c0:g:slwAAeSwpDhpt0Hv,https://i.ebayimg.com/images/g/slwAAeSwpDhpt0Hv/s-l225.jpg,EXACT_FULL_UNIT
v1|236748709835|0,Famous Pioneer SX-1250 AM/FM Receiver - RESTORED/TESTED/VERIFIED,3799.0,USD,,Used,FIXED_PRICE,https://www.ebay.com/itm/236748709835?_skw=Pioneer+SX-1250&hash=item371f529fcb:g:hnsAAeSwKDdp2R3J,https://i.ebayimg.com/images/g/hnsAAeSwKDdp2R3J/s-l225.jpg,EXACT_FULL_UNIT
v1|127723806279|0,Pioneer SX-1250 Stereo Receiver Monster receiver ,4500.0,USD,250.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/127723806279?_skw=Pioneer+SX-1250&hash=item1dbcee9e47:g:4qsAAeSwalhpgBK7,https://i.ebayimg.com/images/g/4qsAAeSwalhpgBK7/s-l225.jpg,EXACT_FULL_UNIT
