item_id,title,price_value,price_currency,shipping_cost,condition,buying_options,item_web_url,image_url,result_type
v1|198326768879|0,Pioneer SX-1050 Stereo Receiver - Just...WOW!!!,998.88,USD,0.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/198326768879?_skw=Pioneer+SX-1050&hash=item2e2d3254ef:g:pSkAAeSwamJp9qWT,https://i.ebayimg.com/images/g/pSkAAeSwamJp9qWT/s-l225.jpg,EXACT_FULL_UNIT
v1|198260314722|0,Pioneer SX-1050 Vintage Stereo Receiver Original Tested Working But Needs TLC,1499.99,USD,,Used,FIXED_PRICE,https://www.ebay.com/itm/198260314722?_skw=Pioneer+SX-1050&hash=item2e293c5262:g:oGIAAeSwbSBp0-6z,https://i.ebayimg.com/images/g/oGIAAeSwbSBp0-6z/s-l225.jpg,EXACT_FULL_UNIT
v1|198326675135|0,Pioneer SX-1050 Stereo Receiver - Just...WOW!!!,998.88,USD,0.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/198326675135?_skw=Pioneer+SX-1050&hash=item2e2d30e6bf:g:e8UAAeSw0k5p9pho,https://i.ebayimg.com/images/g/e8UAAeSw0k5p9pho/s-l225.jpg,EXACT_FULL_UNIT
v1|198062317983|0,Pioneer SX-1050 AM/ FM  Receiver,2250.0,USD,,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/198062317983?_skw=Pioneer+SX-1050&hash=item2e1d6f219f:g:qh0AAeSwhMVpeqbJ,https://i.ebayimg.com/images/g/qh0AAeSwhMVpeqbJ/s-l225.jpg,EXACT_FULL_UNIT
v1|366316017389|0,Pioneer SX-1050 Stereo Receiver Vintage Model SX-1050 MPN SX-1050,1800.0,USD,,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/366316017389?_skw=Pioneer+SX-1050&hash=item554a22d6ed:g:8OwAAeSwGnFpywNz,https://i.ebayimg.com/images/g/8OwAAeSwGnFpywNz/s-l225.jpg,EXACT_FULL_UNIT
v1|326940130675|0,Pioneer SX-5580 SX-1050,3110.0,USD,,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/326940130675?_skw=Pioneer+SX-1050&hash=item4c1f267d73:g:OKwAAeSwkwVpWUJ5&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbC%2F2gew71%2BTrKqUEmBcjBVCIKAzC0esJ3%2Ba41e7pu%2FZQE2VHf6HHxRzZ3%2F9a%2BSicJNgCMCFah93Bsr5ABtEYpK5PXAyR7%2FPEfikP1hwNZl0HdvhzoSNNyMgcxRbIh62CYitn%2B0yZ0Fn2ID3KXJ3GS9CyxujXDaOCZOOVfdtx2puu7ev22%2FVlrozXmnEZO4shDrZROBTrkEEQuC%2FW4aQuETUfyhxEueVa9O588yFaw0U73npOnhXaWfqfhGTiS9boM3R%2Fw0f0zkkBbdfRgHwBte%2F1eqo2diWrIB9NmbBwRO4A%3D%3D,https://i.ebayimg.com/images/g/OKwAAeSwkwVpWUJ5/s-l225.jpg,EXACT_FULL_UNIT
v1|127804911075|0,Pioneer Stereo Receiver Model SX-1050 Tested Nice,2400.0,USD,,Very Good,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/127804911075?_skw=Pioneer+SX-1050&hash=item1dc1c42de3:g:jyoAAeSwmT1p2rBT,https://i.ebayimg.com/images/g/jyoAAeSwmT1p2rBT/s-l225.jpg,EXACT_FULL_UNIT
v1|405236734142|0,PIONEER SX-1050 VINTAGE AM/FM STEREO RECEIVER - TESTED - WORKING,2050.0,USD,,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/405236734142?_skw=Pioneer+SX-1050&hash=item5e59fdd8be:g:bvYAAOSw0gJm6vjo,https://i.ebayimg.com/images/g/bvYAAOSw0gJm6vjo/s-l225.jpg,EXACT_FULL_UNIT
