item_id,title,price_value,price_currency,shipping_cost,condition,buying_options,item_web_url,image_url,result_type
v1|327119270082|0,McIntosh MA6100 Integrated Stereo Amplifier; Vintage,1899.0,USD,149.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/327119270082?_skw=McIntosh+MA+6100&hash=item4c29d3f0c2:g:UPkAAeSwzGVp6hnH,https://i.ebayimg.com/images/g/UPkAAeSwzGVp6hnH/s-l225.jpg,EXACT_FULL_UNIT
v1|358490545763|0,McIntosh MA-6100 Integrated Amp,1250.0,USD,,Used,FIXED_PRICE,https://www.ebay.com/itm/358490545763?_skw=McIntosh+MA+6100&hash=item5377b39e63:g:P8IAAeSw8iBp7nz5,https://i.ebayimg.com/images/g/P8IAAeSw8iBp7nz5/s-l225.jpg,EXACT_FULL_UNIT
v1|287123805831|0,McIntosh MA6100 Integrated Amplifier Excellent Working 120V w/ Wood Case,1590.0,USD,0.0,Used,FIXED_PRICE,https://www.ebay.com/itm/287123805831?_skw=McIntosh+MA+6100&hash=item42d9e99687:g:cN4AAeSwZK1p6KRD,https://i.ebayimg.com/images/g/cN4AAeSwZK1p6KRD/s-l225.jpg,EXACT_FULL_UNIT
v1|227174782279|0,MCINTOSH MA 6100 STEREO PREAMP-AMPLIFIER,2299.99,USD,125.0,Unspecified,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/227174782279?_skw=McIntosh+MA+6100&hash=item34e4ac1547:g:RiQAAeSwfBlpaGSU,https://i.ebayimg.com/images/g/RiQAAeSwfBlpaGSU/s-l225.jpg,EXACT_FULL_UNIT
v1|336097493813|0,McIntosh MA 6100 Stereo Preamplifier Power Amplifier,1999.0,USD,,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/336097493813?_skw=McIntosh+MA+6100&hash=item4e40f8c335:g:b6AAAeSwi71oiW62,https://i.ebayimg.com/images/g/b6AAAeSwi71oiW62/s-l225.jpg,EXACT_FULL_UNIT
v1|136761206171|0,McIntosh MA6100 Monitoring Amplifier 100V JP w/NTI-200 Step-Up/Down Unit,2288.88,USD,625.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/136761206171?_skw=McIntosh+MA+6100&hash=item1fd79a659b:g:pNoAAeSwF9tpHTHc&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZwakDaSfe8U7VHIPoI0Tk4eqP6X6%2F1nhxBit9w26II99ozRN8w%2BayEwNiiFR8BLYQZvU6dKdkSv%2FGicaSw1%2Bld3Jh1uLATkB7oVqaGXsl0GpA7l5b7W4886yIR530Tk--YeaCFvFrzTRZbxMRXrEIh0ecgj9iLSbl5DviOVntz%2FHbx6ak0iX2WGzHiHV2FOhEfTDIVTwkG3cLiEm0of47nZkrNLnhaoszQvZAz9aEdTO8fjDwJunOPYu5ktF1KuwO5O4j%2FgGnc7p6v8oJDZtVcK8ONHQQvbP6bfPZvNRNIfQ%3D%3D,https://i.ebayimg.com/images/g/pNoAAeSwF9tpHTHc/s-l225.jpg,EXACT_FULL_UNIT
