item_id,title,price_value,price_currency,shipping_cost,condition,buying_options,item_web_url,image_url,result_type
v1|389877089270|0,Marantz 2275 AM/FM Stereo Receiver ,2200.0,USD,100.0,Used,FIXED_PRICE,https://www.ebay.com/itm/389877089270?_skw=Marantz+2275&hash=item5ac67c43f6:g:vJ0AAeSwYi9p2qgV,https://i.ebayimg.com/images/g/vJ0AAeSwYi9p2qgV/s-l225.jpg,EXACT_FULL_UNIT
v1|177710973251|0,Marantz 2275 AM/FM Stereo Receiver Working,2000.0,USD,100.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/177710973251?_skw=Marantz+2275&hash=item2960664143:g:vF8AAeSwYfNpTgbB,https://i.ebayimg.com/images/g/vF8AAeSwYfNpTgbB/s-l225.jpg,EXACT_FULL_UNIT
v1|397862634477|0,Marantz 2275 Stereo Receiver-Free WC-22 – Fully Restored – 1 Year warranty,3999.0,USD,0.0,Excellent - Refurbished,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/397862634477?_skw=Marantz+2275&hash=item5ca27603ed:g:DJsAAeSwlIVp5sWr,https://i.ebayimg.com/images/g/DJsAAeSwlIVp5sWr/s-l225.jpg,EXACT_FULL_UNIT
v1|188335772543|0,MARANTZ 2275 🌈RaRe🌈 Vintage Stereo Receiver,6999.0,USD,499.9,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/188335772543?_skw=Marantz+2275&hash=item2bd9afd37f:g:sVwAAeSwxfNp0UaH&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZNJagwFmLrbCBi48bQSekVCLds6d%2Bwr3ZdIcrNgjdavdHKKxj5OOLjyAc0j0lVRM%2FhUKYfJ9iSMaK8TlEbVOXV3T%2BlzBtNOz1owxJZHTsyyHs2w2ey1JQMhOwRjlhnBuZRlC5d0pRpOuAmcOGpr2TeqxHqBjU2Uv4A9vJtlapEtDElz6z%2B0W7frVYc1XGPFb%2BtBCMCklU0OhEqv5KHCDonXvr9Ewxf0nmq1PYv7PO24x93HJdZ5iUtj6su%2FV%2BoNELhdc39aFvW17qr91R2k5jGr60EssxH1nbUCEBpz--MgQ%3D%3D,https://i.ebayimg.com/images/g/sVwAAeSwxfNp0UaH/s-l225.jpg,EXACT_FULL_UNIT
v1|176491553518|0,"Marantz 2275 Stereophonic Receiver, vintage and in excellent condition! ",2269.99,USD,,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/176491553518?_skw=Marantz+2275&hash=item2917b762ee:g:XMsAAOSwBlNmo9Ve,https://i.ebayimg.com/images/g/XMsAAOSwBlNmo9Ve/s-l225.jpg,EXACT_FULL_UNIT
