item_id,title,price_value,price_currency,shipping_cost,condition,buying_options,item_web_url,image_url,result_type
v1|318169780080|0,Vintage Pioneer SX-780 AM/FM Stereo Receiver Silver Face,549.0,USD,79.0,Used,FIXED_PRICE,https://www.ebay.com/itm/318169780080?_skw=pioneer+receiver&hash=item4a14658f70:g:3CwAAeSwZeRp5C27,https://i.ebayimg.com/images/g/3CwAAeSwZeRp5C27/s-l225.jpg,EXACT_FULL_UNIT
v1|198260314722|0,Pioneer SX-1050 Vintage Stereo Receiver Original Tested Working But Needs TLC,1499.99,USD,,Used,FIXED_PRICE,https://www.ebay.com/itm/198260314722?_skw=pioneer+receiver&hash=item2e293c5262:g:oGIAAeSwbSBp0-6z,https://i.ebayimg.com/images/g/oGIAAeSwbSBp0-6z/s-l225.jpg,EXACT_FULL_UNIT
v1|306838754678|0,BEAUTIFUL! Vintage Pioneer Reverberation SX-9000 Stereo Receiver ,899.0,USD,,Used,FIXED_PRICE,https://www.ebay.com/itm/306838754678?_skw=pioneer+receiver&hash=item477103d576:g:fDcAAeSw8U9ptah1,https://i.ebayimg.com/images/g/fDcAAeSw8U9ptah1/s-l225.jpg,EXACT_FULL_UNIT
v1|127823660353|0,Pioneer SX-880 AM/FM Stereo Receiver 1978 Tested Works Great.,500.0,USD,71.75,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/127823660353?_skw=pioneer+receiver&hash=item1dc2e24541:g:ougAAeSwDeVp6KY0&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZNhb6MDG4vF1M2yV2fVzYYws7rblPxcM8PXdDjIUh4WIv%2BGKy0qDNQlIMNgjNQDtOQrtspVvolNNQewpQ2%2Fnlc3b9Dh%2FBYF42jllmJuxbw6VW1jsh6pbFLy47Atg6UD81Kyx%2BIj5JbmbN%2F438rgmg5HMOUmUSNaBi6Duvp9EUT19sy4BzELoUI0La6QhdHU0doDRFTwkopqmkUsOWaGFC7kV%2BgE0Dp9JIf%2FBpQSZ04B%2Fu1unVzTpJFPNBiQ1HOeDgWXfC8f6ma426BOiVZN3NdNga1zymaaYmsfmaMgXHGHA%3D%3D,https://i.ebayimg.com/images/g/ougAAeSwDeVp6KY0/s-l225.jpg,EXACT_FULL_UNIT
v1|188323162557|0,Pioneer SX-828 AM/FM Stereo Receiver ( TESTED / WORKS ) Great Condition,650.0,USD,79.77,Used,FIXED_PRICE,https://www.ebay.com/itm/188323162557?_skw=pioneer+receiver&hash=item2bd8ef69bd:g:zlwAAeSwpHRp76U4,https://i.ebayimg.com/images/g/zlwAAeSwpHRp76U4/s-l225.jpg,EXACT_FULL_UNIT
v1|236773566810|0,Vintage Pioneer SX-737 AM/FM Stereo Receiver WORKS See Photos,415.0,USD,,Used,FIXED_PRICE,https://www.ebay.com/itm/236773566810?_skw=pioneer+receiver&hash=item3720cde95a:g:TDgAAeSwLSlp6cis&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZrvcwJ8X4zg1GDYtEDQTI4xnAr2srsDsm6Iu06jSjpTg%2BUzfFQpbHoDxLrWuxVdt87DhxuaiI0JXCKq0%2FKLg4b1HOHpRJs3pK3B0tShl7l%2BCAOFc%2BuZsxtuG53qtUlBKXlDdjtSjNilQuA9Cvlq3txepnyD8DILHYYtGSKgHI7eVrXMWvEzM1gGlam5BknMGYpQsWh0pGvJS8iNZCbPipGkOUHqCPHN61fTIJSvrKt9dh8CSyomnZj8GA6s8nfbJEQA7q4R38os8M4k5fWKX6LzD64It%2BxO9X52Nyg9kvm%2Fg%3D%3D,https://i.ebayimg.com/images/g/TDgAAeSwLSlp6cis/s-l225.jpg,EXACT_FULL_UNIT
v1|377162304255|0,Vintage Pioneer SX-650 Vintage AM/FM Stereo Receiver - Tested Works,439.99,USD,0.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/377162304255?_skw=pioneer+receiver&hash=item57d0a00aff:g:4PYAAeSwW4Npf9d7,https://i.ebayimg.com/images/g/4PYAAeSwW4Npf9d7/s-l225.jpg,EXACT_FULL_UNIT
