model,brand,category,title,sold_price,sold_date,condition,url,comp_classification,reason
Apple iMac G5,Apple,computer,"Apple iMac G5 17"" | 1.8GHz PowerPC | MAX 2GB RAM | MacOS 10.4 Tiger | TESTED",125.09,2026-04-22T00:00:00.000Z,,https://www.ebay.com/itm/406824311288?_skw=Apple+iMac+G5&itmmeta=01KQV4NM18DDSRJZ45WASA1GJT&hash=item5eb89e59f8:g:auYAAeSwoSJpvfkf&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB5DJH8PixgHWsNMCrHX0r5PWRUMQrrWaKmlc9iPQmfG2LIOPqpcoLPnphxfBsCiw3pBkgJwww5zL6QVX4CNTgT9gOpXSjl8DhShzaZpBPFoqGFUKQdqmerOtgjarJTbLHKvB%2Ffd5V%2BVN5JGEFz3FMzlnLWSmdZ9f0cdopdfIGzvl20GNw9Azt4zawz7NRRP1XuT8ysT181TW6dEQnyDwZpiswE1XBmI5ZpHzZp4H0O0YmE%2FlBAHSy2caIq%2FqkWSG9NPI21Gg%2FeSVk2lolBOg95uWkOgRnFK23GNbzO%2FBxnJw%3D%3D%7Ctkp%3ABk9SR_LA1uS-Zw,FULL_UNIT,"Exact model, no hard reject terms, above price floor"
Apple iMac G5,Apple,computer,"Apple iMac G5 20"" A1076 1.8GHz PowerPC 160GB HDD 768MB RAM Original Box Tested",219.99,2026-05-03T00:00:00.000Z,,https://www.ebay.com/itm/287293887845?_skw=Apple+iMac+G5&itmmeta=01KQV4NM18V00W8TBA8DZK9KK3&hash=item42e40cd565:g:QIIAAeSwWi9p7Qp9&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xC6sxkGsClrECqQ9jixzbnfGrBziT%2FCi4LPw58zKypuG8r4mx338y0oOELrRHyClhh4YEBiKpue2%2F2EsxgKWfOjTV2Y1u1XyJyn6GOEq7gWbN8OYI3d9n99DphFdZ%2BxrvPJoA4AYipvB8GfTou%2Fmzy54L2kTtCkKPuJZ68vMrgeKz3935HR3bDHQJAeJP0Q0HCrP4MqZJ2MqFrUjQr1x8mdd%2BBZRt1w3LKYHxgmv%2FUAPB26ramqDzO2%2BYAok8LWBW2XqiCCJIDYTowo6hUrUSm4vEwMyV2BVm9RGZf69Q6yuA%3D%3D%7Ctkp%3ABk9SR_LA1uS-Zw,FULL_UNIT,"Exact model, no hard reject terms, above price floor"
Apple iMac G5,Apple,computer,"Apple iMac G5 A1058 17"" All-In-One Desktop – Tested & Working – No Keyboard",69.99,2026-05-04T00:00:00.000Z,,https://www.ebay.com/itm/227326842055?_skw=Apple+iMac+G5&itmmeta=01KQV4NM181Z27E18TMP989TRX&hash=item34edbc54c7:g:t48AAeSwh5Vp9i9a&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCG%2Bcxf5jDQ3wU1VypGigapSPTOEeov%2BFlbZ3iI9E2MZcEL8SAFnmmwpbAm3%2B2Jlwjd9hoSCZZdpHhnR%2BDfSX1f3lVsI1N4NYaPi3%2BF23Qk9H4sl6XDON3ixaz3PuDy0LRrtcM%2FdVCM5cj8P9Gq5%2FMIq--qOkjGilf%2Bieo9%2FFXmJFy6NqebGBKThSQAOpq8SEz4xynZCZ5MIDUADVjS5l72u%2B4EsFVpYTnFgWJ%2B3yv5rmK5UcDkOKDwHIm8nXKq5JQ%3D%7Ctkp%3ABk9SR_LA1uS-Zw,REJECT,Below full-unit price floor for Apple iMac G5: $70 < $75
Apple iMac G5,Apple,computer,"Apple iMac G5 WORKING With Keyboard, Keycap Missing",120.0,2026-04-20T00:00:00.000Z,,https://www.ebay.com/itm/127800138712?_skw=Apple+iMac+G5&itmmeta=01KQV4NM187AX27Z6ZAFZ3F2SF&hash=item1dc17b5bd8:g:MxIAAeSwE2hp1xsf&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCSceqqEgnheys%2FKOYnxBYgFOdb1HStv4HH9sgxfGpMfdj5g9zFN2RfOu1CSZyLc2%2FY2vsOVX5iX0wXddLuv4wh7ACoMxt7Imgmzc3IfFoNmsXUFEEcx8BBILFSx5XfAT6QSnZ554QCTl0fL2fjBoRmilw7Eeqbqio77jUMXnZUdvd2fyT0YeRHVPj6Tm%2FAdvi117fuRCC8AZTD9mf00y4Lc1zhuzFnfQEnvCNs%2Bylg4QrRMZXT2PBx2aP9xJkRwXTUXetz4u55wDo1Qr01burYAtkzo7074mgiD8Av6PaBOQ%3D%3D%7Ctkp%3ABk9SR_LA1uS-Zw,FULL_UNIT,"Exact model, no hard reject terms, above price floor"
Apple Power Mac G4,Apple,computer,Apple Power Mac G4 Desktop Computer Model M8570 No HDD Untested For Parts/Repair,159.99,2026-05-03T00:00:00.000Z,,https://www.ebay.com/itm/318238517819?_skw=Apple+Power+Mac+G4&itmmeta=01KQV4NQRE8NFJ2MVQTPFRZ7FX&hash=item4a187e6a3b:g:Xo4AAeSwZoxp9kLv&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDSscZas05Bv%2FtjA%2BqedyyzAMEWvDGI8ygsJop1IFn8NRIPhc%2FASHa1%2FPbP2DyNafRkyMD0EaEyac5ckDnTmQHwPhjDPFZkJRZHOioTt42DfpPv6NOF%2BvrREMbDoq4BVUUGq9FmX3akESMKIVIkzPO7I8eobVwD00GmQ%2BHNk1MRq0Wbmv3JX8kA3bqPW%2FUIWpVq2koUUsQW6sKEEc8TJc3ICd%2FB%2FY3k4hM20Bq70sbs68LMcmOgcBDH1BuNZdWYoY0%3D%7Ctkp%3ABk9SR7L81uS-Zw,REJECT,Hard reject term: parts
Apple Power Mac G4,Apple,computer,Apple Power Mac G4 For Parts Or Repair  Powers On With Box,94.99,2026-05-03T00:00:00.000Z,,https://www.ebay.com/itm/397897707676?_skw=Apple+Power+Mac+G4&itmmeta=01KQV4NQRE7KY5802BAC3KHNMR&hash=item5ca48d309c:g:e4wAAeSwATdp89nR&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCvj%2FrSQoK3rj79MswBIl9L1aZa22dvH31k19qQuycqNNRvYCDLlweflBEaVoIvRr7gdVPGseDHwwJozz%2FdTu%2FdMwjkS4nISqO5iew5Ki0Ji76E6%2F3lAi%2F8OoG8ciYsxn4OCwKjI5OluE%2Fnsll7fRSA3%2FDG0Wt1gP%2FpfBtRSIJr73JaW1eLDGpEluTtAzTIkA2hhSTL6%2FkhjRM6A%2BWfSnB3FplLj1%2F%2Bbm3O29t9%2Fr5YvVlm6dgwM2CFy5vICGDg7vo%3D%7Ctkp%3ABk9SR7L81uS-Zw,REJECT,Hard reject term: parts
Harman Kardon HK-385I,Harman Kardon,receiver,Harman Kardon HK385i Stereo Receiver Silver Face - Tested,119.95,2026-02-16T00:00:00.000Z,,https://www.ebay.com/itm/389522264435?_skw=Harman+Kardon+HK385i&itmmeta=01KQV2KZ03V4Z117W47WTTFYXJ&hash=item5ab1561173:g:NWEAAeSwR~VpcTB6&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAlC25wwnF3EKhg7iupEXk%2FS5EKVqgUFTwUxZiQvLOrewjmn2njhhHznH5VL86Jx9iQArTkHrCI%2Fq8D2QucUOcPFJPFg%2Bmim0k73QqWHPLXSLRwA4xN3Mc9JM%2FkDNWSdkJdySc1eQY9COaiPghQm%2BJU3mkQGjbC5hn1Spb7VM%2BPXT62O02EufH47%2BWbkTpx9P%2B6O%2FxqDMoH%2BpSZI2Acq306LbD5QQB%2BbG%2BYB%2Bph51OiPzdNu%2FxmwGgCC4bsezYXB9AJPu4Fycka9qPDO8EMGmvC6ZQzewgT%2Fiwx%2F1SqG9hUsw%3D%3D%7Ctkp%3ABk9SR7Dwz-K-Zw,FULL_UNIT,"Exact model, no hard reject terms, above price floor"
Harman Kardon HK-385I,Harman Kardon,receiver,Harman Kardon HK385i stereo receiver. Excellent Condition. Serviced. Tested Ok.,129.98,2026-04-02T00:00:00.000Z,,https://www.ebay.com/itm/117025955367?_skw=Harman+Kardon+HK385i&epid=660507456&itmmeta=01KQV2KZ032VKSTCF83K7DTKZG&hash=item1b3f4a5e27:g:Lp8AAeSw9MBpiHyR&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDpze5D2koqD%2BqbBH79wKfzK47lkkoIl8N9kWs%2B54teRBTROpem4xMP%2FP7qpELUdEW2sv3cuZl4sFMWBlAI0wgaLdegUA9AHKK2sma1%2B7fDdKAcJzpuc8jU4pIPoShmO7uvmHBjwaaUCHIH%2Fny9qFbgBZxEe0tCFuw1worUenYWUXpJQO4SrbRfWhZ7HTacaxmFeu4OY3kKnJnN%2BZ0GZyO2lK5efVvubiOeu3Sw--S%2Bq9KjyHz1mxNpRbHpSSOjYOU%3D%7Ctkp%3ABk9SR67wz-K-Zw,FULL_UNIT,"Exact model, no hard reject terms, above price floor"
Harman Kardon HK-385I,Harman Kardon,receiver,Harman Kardon HK385i stereo receiver. Excellent Condition. Tested Ok.,93.5,2026-03-04T00:00:00.000Z,,https://www.ebay.com/itm/137085541403?_skw=Harman+Kardon+HK385i&itmmeta=01KQV2KZ03AGMJTCZWY4GQR44X&hash=item1feaef5c1b:g:ZCAAAeSwTz5ppM0I&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBIY4KA0xdqkiXlZTjVqe0j%2B8RX2pDmjOOfdLcNJVRiWK1r7i29decSzvbbcVNxCBNnWoQ7bjKB4w4j3M2ux%2FubmpemawyumY1OsaMycrAGvF3ymeDMjxxOahYKFv8xxgDi2VUAUiSDjykORtFoDMGgvsS0xFplvWIbmbLim7DmfhxORlYuDeUKur6cn0l0CPauP3kgGmiX%2FKxdoLyYeinbicZaeQn5lriSNaNJ5WwzxvfiRRmkxPJfrDwMKBLc5gI%3D%7Ctkp%3ABk9SR7Dwz-K-Zw,FULL_UNIT,"Exact model, no hard reject terms, above price floor"
Harman Kardon HK-385I,Harman Kardon,receiver,Harman Kardon HK385i stereo receiver. Excellent Condition. Tested Ok.,93.5,2026-03-04T00:00:00.000Z,,https://www.ebay.com/itm/137094864642?_skw=Harman+Kardon+HK385i&epid=660507456&itmmeta=01KQV2KZ03B8BN6HMCKQSNG61P&hash=item1feb7d9f02:g:ZCAAAeSwTz5ppM0I&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAr2OT9dkh7sZGB%2BtnBsi%2BudIxkCXcGUrsuq3hCBaJ3%2B7Zwdxyul3LSSwARakePgL2pt3GKcxbG%2B5dLSbudGWcskuj%2Fb1C52UKxNnb%2FYnbD900NSLqm2Wso6d34GsCnVO5Ms2hGRcPQpxNRbDv5YvHuFbVuHt5gL0CvVTay19%2Fx%2BiFXsCSHXA4k96BdcmPbUWkIAfTsLKc8GUSz%2FnZj7VZVOgTViPQIlD4ELCXwB8XYyBRqz%2FCJo2b6zoflnzIkY00%3D%7Ctkp%3ABk9SR7Dwz-K-Zw,FULL_UNIT,"Exact model, no hard reject terms, above price floor"
