source,item_id,title,status,price_cents,price_usd,url,image_url,condition,shipping_payer,query,scraped_at,review_status,notes
mercari_apify,m83074862796,Sony Dual Cassette Deck TC-WR531 Stereo Tape Player Recorder Deck A Stuck Broken,on_sale,2538,25.38,https://www.mercari.com/us/item/m83074862796/,,,,cassette deck,2026-05-05T03:53:06.530068+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m42531468106,Pioneer CT-W310 Dual Deck Cassette Recorder For Parts Deck A Not Working,on_sale,2710,27.10,https://www.mercari.com/us/item/m42531468106/,,,,cassette deck,2026-05-05T03:53:06.530083+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m45881439127,TEAC A-300 Cassette Player - PARTS OR REPAIR,on_sale,7330,73.30,https://www.mercari.com/us/item/m45881439127/,,,,cassette deck,2026-05-05T03:53:06.530100+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m99368507327,Nakamichi 680 Discrete Head Cassette Deck For Parts Only Powers On,on_sale,79900,799.00,https://www.mercari.com/us/item/m99368507327/,,,,cassette deck,2026-05-05T03:53:06.530116+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m14561942185,Philips Model: FC930 Double Auto Reverse Cassette Deck 900 Series w/ Remote,on_sale,8999,89.99,https://www.mercari.com/us/item/m14561942185/,,,,cassette deck,2026-05-05T03:53:06.530131+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m34201344864,Nintendo GameCube Console Only,on_sale,3841,38.41,https://www.mercari.com/us/item/m34201344864/,,,,Nintendo GameCube console,2026-05-05T03:53:06.530147+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m81522273933,Nintendo GameCube,on_sale,5500,55.00,https://www.mercari.com/us/item/m81522273933/,,,,Nintendo GameCube console,2026-05-05T03:53:06.530163+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m97671331712,Nintendo GameCube Console Works Great w/ Controller Hookups Reset Button Stuck,on_sale,10999,109.99,https://www.mercari.com/us/item/m97671331712/,,,,Nintendo GameCube console,2026-05-05T03:53:06.530179+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m68358717705,GameCube,on_sale,12350,123.50,https://www.mercari.com/us/item/m68358717705/,,,,Nintendo GameCube console,2026-05-05T03:53:06.530195+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m87354800836,Simpsons Hit and run for Nintendo GameCube case only,on_sale,6000,60.00,https://www.mercari.com/us/item/m87354800836/,,,,Nintendo GameCube console,2026-05-05T03:53:06.530213+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m83224542864,Pokémon Gale Of Darkness Nintendo GameCube system tested,on_sale,21300,213.00,https://www.mercari.com/us/item/m83224542864/,,,,Nintendo GameCube console,2026-05-05T03:53:06.530232+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m86024311077,GameCube,on_sale,10500,105.00,https://www.mercari.com/us/item/m86024311077/,,,,Nintendo GameCube console,2026-05-05T03:53:06.530248+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m43571378863,GameCube bundle,on_sale,40000,400.00,https://www.mercari.com/us/item/m43571378863/,,,,Nintendo GameCube console,2026-05-05T03:53:06.530264+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m11821795673,PAL-Nintendo 64/N64 Console (!!European/German!!) (!!READ!!),on_sale,6500,65.00,https://www.mercari.com/us/item/m11821795673/,,,,Nintendo 64 console,2026-05-05T03:53:06.530280+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m45729690981,Nintendo 64 Console,on_sale,11000,110.00,https://www.mercari.com/us/item/m45729690981/,,,,Nintendo 64 console,2026-05-05T03:53:06.530296+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m51916759703,N64 Nintendo 64 Console With Grey OEM Controller/Wires Tested,on_sale,10000,100.00,https://www.mercari.com/us/item/m51916759703/,,,,Nintendo 64 console,2026-05-05T03:53:06.530311+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m17464448840,N64 and NES games,on_sale,16150,161.50,https://www.mercari.com/us/item/m17464448840/,,,,Nintendo 64 console,2026-05-05T03:53:06.530327+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m45455011892,Lot of 11 original Nintendo 64 N64 video game cartridges hottest from the 90s,on_sale,27759,277.59,https://www.mercari.com/us/item/m45455011892/,,,,Nintendo 64 console,2026-05-05T03:53:06.530342+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m87045677238,Nintendo 64 bundle tested and working!,on_sale,11899,118.99,https://www.mercari.com/us/item/m87045677238/,,,,Nintendo 64 console,2026-05-05T03:53:06.530357+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m42557058803,Nintendo 64 Console,on_sale,9999,99.99,https://www.mercari.com/us/item/m42557058803/,,,,Nintendo 64 console,2026-05-05T03:53:06.530373+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m66516059776,Nintendo 64 N64 Ice Blue Clear Funtasic Console OEM Region Free Mod,on_sale,18500,185.00,https://www.mercari.com/us/item/m66516059776/,,,,Nintendo 64 console,2026-05-05T03:53:06.530389+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m46295381026,Vintage Apple Macintosh Plus 1Mb Computer (M0001A) - Powers On! + Fanny Mac Cool,on_sale,21570,215.70,https://www.mercari.com/us/item/m46295381026/,,,,vintage Macintosh computer,2026-05-05T03:53:06.530404+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m61648410584,"Vintage Apple Macintosh SE Computer (M5010) - Dual 800K Floppy - POWERS ON!
​Des",on_sale,21569,215.69,https://www.mercari.com/us/item/m61648410584/,,,,vintage Macintosh computer,2026-05-05T03:53:06.530421+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m59079048556,Vintage Apple IIc Computer,on_sale,15000,150.00,https://www.mercari.com/us/item/m59079048556/,,,,vintage Macintosh computer,2026-05-05T03:53:06.530456+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m66470228421,old Macintosh PowerBook 165 year1993,on_sale,5400,54.00,https://www.mercari.com/us/item/m66470228421/,,,,vintage Macintosh computer,2026-05-05T03:53:06.530477+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m36594886276,Apple Desktop Bus Mouse II M2706 -Vintage Macintosh- Exceptional / New Condition,on_sale,9500,95.00,https://www.mercari.com/us/item/m36594886276/,,,,vintage Macintosh computer,2026-05-05T03:53:06.530492+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
